location_name,level,cause_group,cause_name,pct_s,pct_ms,pct_m,prop_s
Africa,1,All causes,All causes,0.0147,0.1282,0.1135,0.1144
Americas,1,All causes,All causes,0.0251,0.194,0.169,0.1291
Eastern Mediterranean,1,All causes,All causes,0.0161,0.1474,0.1313,0.109
Europe,1,All causes,All causes,0.0191,0.2001,0.181,0.0955
South-East Asia,1,All causes,All causes,0.0192,0.1561,0.1369,0.1227
Western Pacific,1,All causes,All causes,0.0171,0.1535,0.1365,0.1113
World,1,All causes,All causes,0.0189,0.1639,0.1449,0.1155
Africa,2,Cardiovascular diseases,Cardiovascular diseases,0.0009,0.0052,0.0043,0.1784
Africa,2,Chronic respiratory diseases,Chronic respiratory diseases,0.0,0.0027,0.0027,0.0001
Africa,2,Diabetes and kidney diseases,Diabetes and kidney diseases,0.0002,0.001,0.0008,0.2464
Africa,2,Digestive diseases,Digestive diseases,0.0,0.0009,0.0009,0.0
Africa,2,Enteric infections,Enteric infections,0.0,0.0,0.0,0.0
Africa,2,HIV/AIDS and sexually transmitted infections,HIV/AIDS and sexually transmitted infections,0.0009,0.0036,0.0028,0.235
Africa,2,Maternal and neonatal disorders,Maternal and neonatal disorders,0.0015,0.0052,0.0037,0.2922
Africa,2,Mental disorders,Mental disorders,0.0057,0.0315,0.0258,0.1805
Africa,2,Musculoskeletal disorders,Musculoskeletal disorders,0.0019,0.0253,0.0234,0.074
Africa,2,Neglected tropical diseases and malaria,Neglected tropical diseases and malaria,0.0003,0.0072,0.0069,0.0368
Africa,2,Neoplasms,Neoplasms,0.0,0.0004,0.0004,0.0639
Africa,2,Neurological disorders,Neurological disorders,0.002,0.0175,0.0155,0.1127
Africa,2,Nutritional deficiencies,Nutritional deficiencies,0.0,0.0004,0.0004,0.0
Africa,2,Other infectious diseases,Other infectious diseases,0.0,0.0005,0.0005,0.0005
Africa,2,Other non-communicable diseases,Other non-communicable diseases,0.0,0.009,0.009,0.0053
Africa,2,Respiratory infections and tuberculosis,Respiratory infections and tuberculosis,0.0003,0.0109,0.0106,0.0282
Africa,2,Sense organ diseases,Sense organ diseases,0.0,0.0086,0.0086,0.0
Africa,2,Skin and subcutaneous diseases,Skin and subcutaneous diseases,0.0004,0.0048,0.0044,0.0765
Africa,2,Substance use disorders,Substance use disorders,0.0007,0.0017,0.0011,0.3911
Americas,2,Cardiovascular diseases,Cardiovascular diseases,0.0005,0.0141,0.0136,0.0346
Americas,2,Chronic respiratory diseases,Chronic respiratory diseases,0.0,0.0071,0.0071,0.0001
Americas,2,Diabetes and kidney diseases,Diabetes and kidney diseases,0.001,0.0037,0.0027,0.2643
Americas,2,Digestive diseases,Digestive diseases,0.0,0.0017,0.0017,0.0
Americas,2,Enteric infections,Enteric infections,0.0,0.0,0.0,0.0
Americas,2,HIV/AIDS and sexually transmitted infections,HIV/AIDS and sexually transmitted infections,0.0001,0.0003,0.0002,0.1865
Americas,2,Maternal and neonatal disorders,Maternal and neonatal disorders,0.0015,0.0043,0.0028,0.3427
Americas,2,Mental disorders,Mental disorders,0.0073,0.0416,0.0343,0.1762
Americas,2,Musculoskeletal disorders,Musculoskeletal disorders,0.0076,0.0656,0.0581,0.1157
Americas,2,Neglected tropical diseases and malaria,Neglected tropical diseases and malaria,0.0,0.0023,0.0023,0.0003
